Features e preço adicionado;;;;;Segmento;;;;;;;;;;;;;;
Grupo;Ítem;Nível;R$ 11.446;#VALOR!;Scooter;Small Street / On-Off;Middle ST / On-Off;BIG ST / On-Off;;;;;;;;;;;
Powertrain;Cilindrada;Padrão;200;189;0;0;0;0;;;;;;;;;;;
Powertrain;Cilindrada;10 cilindradas a mais ;200;189;54;48;75;137;;;;;;;;;;;
Powertrain;Cilindrada;50 cilindradas a mais ;;;;;377;683;;;;;;;;;;;
Powertrain;Cilindrada;100 cilindradas a mais ;;;;;;1366;;;;;;;;;;;
Powertrain;Potência;Padrão;250;94;0;0;0;0;;;;;;;;;;;
Powertrain;Potência;1cv a mais;250;94;68;61;95;172;;;;;;;;;;;
Powertrain;Torque;Padrão;1025;288;0;0;0;0;;;;;;;;;;;
Powertrain;Torque;1kgfm a mais;1025;288;656;588;917;1660;;;;;;;;;;;
Powertrain;Cambio;Manual;729;#VALOR!;0;;;;;;;;;;;;;;
Powertrain;Cambio;Cambio automático;729;#VALOR!;729;;;;;;;;;;;;;;
Powertrain;Cambio;Cambio Semi automatico (DCT da Honda similar);387;#VALOR!;387;389;650;1657;;;;;;;;;;;
Quadro e Suspensão;Suspensão;Convencional;;;0;0;0;0;;;;;;;;;;;
Quadro e Suspensão;Suspensão;Suspensão dianteira invertida;364;#VALOR!;364;417;958;1257;;;;;;;;;;;
Quadro e Suspensão;Suspensão;Suspensão monoamortecida;300;#VALOR!;300;317;583;1129;;;;;;;;;;;
Quadro e Suspensão;Suspensão;Suspensão com Link;;#VALOR!;;200;412;674;;;;;;;;;;;
Quadro e Suspensão;Freios;Convencional;;;0;0;0;0;;;;;;;;;;;
Quadro e Suspensão;Freios;Freio dianteiro com disco duplo;;#VALOR!;;;364;829;;;;;;;;;;;
Quadro e Suspensão;Freios;Freio traseiro a disco;325;#VALOR!;325;311;;;;;;;;;;;;;
Quadro e Suspensão;Freios;Freio a dianteiro a disco;343;#VALOR!;343;338;;;;;;;;;;;;;
Quadro e Suspensão;Freios;Freio ABS 1 Canal;486;#VALOR!;621;671;;;;;;;;;;;;;
Quadro e Suspensão;Freios;Freio ABS 2 Canais;488;288;300;576;889;;;;;;;;;;;;
Painel de Instrumentos;Painel;Painel Analógico;375;#VALOR!;0;0;0;0;;;;;;;;;;;
Painel de Instrumentos;Painel;Painel digital TFT;375;#VALOR!;375;300;567;1214;;;;;;;;;;;
Painel de Instrumentos;Conectividade;Sem conectividade;375;#VALOR!;0;0;0;0;;;;;;;;;;;
Painel de Instrumentos;Conectividade;Conectividade com o celular;163;#VALOR!;163;122;294;600;;;;;;;;;;;
Painel de Instrumentos;Piloto automático;Sem Piloto automático;375;#VALOR!;0;0;0;0;;;;;;;;;;;
Painel de Instrumentos;Piloto automático;Com Piloto automático;;#VALOR!;519;;;519;;;;;;;;;;;
Iluminação;Farol dianteiro;Convencional;313;#VALOR!;0;0;0;0;;;;;;;;;;;
Iluminação;Farol dianteiro;LED;313;#VALOR!;262;273;352;579;;;;;;;;;;;
Iluminação;Farol dianteiro;Projetor de LED;;;87;91;117;193;;;;;;;;;;;
Iluminação;Piscas;Convencional;110;#VALOR!;0;0;0;0;;;;;;;;;;;
Iluminação;Piscas;LED;110;#VALOR!;110;114;214;379;;;;;;;;;;;
Carenagem e Acabamento;Porta capacete;Sem Porta capacete;286;#VALOR!;0;0;0;0;;;;;;;;;;;
Carenagem e Acabamento;Porta capacete;Porta capacete p/ capacete fechado;286;#VALOR!;355;;;;;;;;;;;;;;
Carenagem e Acabamento;Porta capacete;Porta capacete p/ Capacete aberto;200;#VALOR!;200;;;;;;;;;;;;;;
Carenagem e Acabamento;Tampa de Combustível;Convencional;;#VALOR!;0;0;0;0;;;;;;;;;;;
Carenagem e Acabamento;Tampa de Combustível;Tampa de Combustível tipo aviador;;#VALOR!;;144;207;302;;;;;;;;;;;
Carenagem e Acabamento;Manopla;Manopla convencional;89;#VALOR!;0;0;0;0;;;;;;;;;;;
Carenagem e Acabamento;Manopla;Manopla aquecida;45;#VALOR!;45;88;192;329;;;;;;;;;;;
Serviços;Revisão;Preço variável;39;#VALOR!;0;0;0;0;;;;;;;;;;;
Serviços;Revisão;Revisão Preço Fixo;39;#VALOR!;39;40;48;63;;;;;;;;;;;
Serviços;Garantia;1 Ano de garantia;194;#VALOR!;0;0;0;0;;;;;;;;;;;
Serviços;Garantia;2 Anos de garantia;194;#VALOR!;194;164;224;350;;;;;;;;;;;
Serviços;Garantia;3 Anos de garantia;219;#VALOR!;219;189;263;350;;;;;;;;;;;
Serviços;Garantia;4 Anos de garantia;250;17;250;214;297;407;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
